CustomerID,recency,frequency,monetary,tenure,frequency_lifetimes,recency_lifetimes,T_lifetimes,monetary_value_lifetimes,predicted_purchases,expected_avg_profit,clv,churn_probability,cluster,segment,pca_1,pca_2
12346.0,326,1,77183.6,326,0.0,0.0,326.0,0.0,0.142126922959029,477.3803385139514,6.651390826566412,0.0,0,Low Value / Lost,28.47260865756272,-7.514716856797668
12347.0,2,7,615.7142857142857,367,6.0,365.0,368.0,599.7016666666667,1.4206042514226884,691.76623900955,96.33942685334328,0.0,0,Low Value / Lost,0.37783564294564065,1.2230344914998135
12348.0,75,4,449.31,358,3.0,283.0,359.0,301.48,0.7912690422959149,411.00354727615616,31.881689675658205,0.0,0,Low Value / Lost,0.059715820834714946,0.8056631238498889
12349.0,19,1,1757.55,19,0.0,0.0,19.0,0.0,0.7771728594204138,477.3803385139514,36.370874146733456,0.0,0,Low Value / Lost,0.3243629669158822,-1.602758800023181
12350.0,310,1,334.4,310,0.0,0.0,311.0,0.0,0.1480372485180414,477.3803385139514,6.927987859604044,0.0,0,Low Value / Lost,-0.41526670848529595,0.07024356228649216
12352.0,36,7,313.255,297,6.0,260.0,297.0,368.25666666666666,1.711519940933171,424.8593559912253,71.28509542147192,0.0,0,Low Value / Lost,0.15971897350589068,0.8365658250241279
12353.0,204,1,89.0,204,0.0,0.0,205.0,0.0,0.2096447603073858,477.3803385139514,9.811154751786418,0.0,0,Low Value / Lost,-0.44054237910481525,-0.4618023530716519
12354.0,232,1,1079.4,232,0.0,0.0,233.0,0.0,0.1888811250498564,477.3803385139514,8.839438414003508,0.0,0,Low Value / Lost,-0.0860185758770913,-0.41359660162710005
12355.0,214,1,459.4,214,0.0,0.0,215.0,0.0,0.2017249212948576,477.3803385139514,9.44051459818935,0.0,0,Low Value / Lost,-0.3076748673496296,-0.4462476763863667
12356.0,23,3,937.1433333333332,326,2.0,303.0,326.0,269.90500000000003,0.6212219305881769,449.5573842121708,27.378112256058927,0.0,0,Low Value / Lost,0.2476948147495242,0.4818505531724446
